"Queue","Count","Age"
trms_es_ari_concessions_abuse_cap_dnr_referrals_wrk_amz,20,29175
trms_es_ari_email_contra_ari_wrk_amz,17,60963
trms_es_ari_email_dnr_emails_wrk_amz,14,95236
trms_es_ari_email_ari_esc_wrk_amz,13,324890
trms_es_ari_buyer_returns_wrk_amz,9,89430
trms_es_ari_concessions_abuse_high_pri_capdnr_referrals_wrk_amz,8,29561
trms_es_ari_email_neat_wrk_amz,8,62115
trms_es_ari_afnbearsrefundapproval_wrk_amz,7,43189
trms_es_ari_afnrrefundapproval_wrk_amz,5,20432
trms_es_ari_cap_high_risk_wrk_amz,4,128196
trms_es_ari_email_ari_rcr_wrk_amz,4,29233
trms_es_ari_email_mfn_emails_wrk_amz,4,88359
trms_es_ari_email_aba_wrk_amz,3,39575
trms_es_ari_sellerinitiatedrefund_wrk_amz,3,33128
trms_es_ari_pdarefundapproval_wrk_amz,2,25961
trms_es_ari_afn_holistic_refund_approval_wrk_amz,1,16088
trms_es_ari_afnrefundapproval_wrk_amz,1,13363
trms_fr_ari_acclinkageinvestigation_wrk_amz,395,355560
trms_fr_ari_mdr_acc_investigation_bau_wrk_amz,322,306365
trms_fr_pi_ari_claims_atoz_ari_abuse_abc_wrk_amz,207,69445
trms_fr_ari_email_maa_emails_wrk_amz,170,120486
trms_fr_ari_mfnegregious_wrk_amz,165,1139251
trms_fr_ari_email_arm_appeals_wrk_amz,128,125015
trms_fr_ari_psi_transfer_acc_level_wrk_amz,95,344970
trms_fr_ari_nsrsou_wrk_amz,81,176358
trms_fr_ari_concessions_abuse_cap_dnr_referrals_wrk_amz,79,30161
trms_fr_ari_email_contra_ari_wrk_amz,77,97936
trms_fr_ari_pdaconcessionsabuse_wrk_amz,72,117793
trms_fr_ari_afnrefundapproval_wrk_amz,62,22654
trms_fr_ari_afnhighriskrefundapproval_wrk_amz,58,42907
trms_fr_ari_email_ofm_wrk_amz,57,90845
trms_fr_ari_email_dnr_emails_wrk_amz,38,97082
trms_fr_ari_concessionsabuserr_wrk_amz,32,227050
trms_fr_ari_cap_high_risk_wrk_amz,20,207457
trms_fr_ari_email_ari_esc_wrk_amz,14,381016
